dataset,missing_type,code,country
youth_literacy.csv,incomplete,EST,Estonia
youth_literacy.csv,incomplete,SWZ,Eswatini
youth_literacy.csv,incomplete,ETH,Ethiopia
youth_literacy.csv,incomplete,GAB,Gabon
youth_literacy.csv,incomplete,GMB,Gambia
youth_literacy.csv,incomplete,GHA,Ghana
youth_literacy.csv,incomplete,GRC,Greece
youth_literacy.csv,incomplete,GIN,Guinea
youth_literacy.csv,incomplete,GNB,Guinea-Bissau
youth_literacy.csv,incomplete,ITA,Italy
youth_literacy.csv,incomplete,KEN,Kenya
youth_literacy.csv,incomplete,LVA,Latvia
youth_literacy.csv,incomplete,LSO,Lesotho
youth_literacy.csv,incomplete,LBR,Liberia
youth_literacy.csv,incomplete,LTU,Lithuania
youth_literacy.csv,incomplete,MDG,Madagascar
youth_literacy.csv,incomplete,MWI,Malawi
youth_literacy.csv,incomplete,MLI,Mali
youth_literacy.csv,incomplete,MLT,Malta
youth_literacy.csv,incomplete,MRT,Mauritania
youth_literacy.csv,incomplete,MUS,Mauritius
youth_literacy.csv,incomplete,MDA,Moldova
youth_literacy.csv,incomplete,MNE,Montenegro
youth_literacy.csv,incomplete,MAR,Morocco
youth_literacy.csv,incomplete,MOZ,Mozambique
youth_literacy.csv,incomplete,NAM,Namibia
youth_literacy.csv,incomplete,NER,Niger
youth_literacy.csv,incomplete,NGA,Nigeria
youth_literacy.csv,incomplete,MKD,North Macedonia
youth_literacy.csv,incomplete,PRT,Portugal
youth_literacy.csv,incomplete,ROU,Romania
youth_literacy.csv,incomplete,RWA,Rwanda
youth_literacy.csv,incomplete,SMR,San Marino
youth_literacy.csv,incomplete,STP,Sao Tome and Principe
youth_literacy.csv,incomplete,SEN,Senegal
youth_literacy.csv,incomplete,SRB,Serbia
youth_literacy.csv,incomplete,SYC,Seychelles
youth_literacy.csv,incomplete,SLE,Sierra Leone
youth_literacy.csv,incomplete,SOM,Somalia
youth_literacy.csv,incomplete,ZAF,South Africa
youth_literacy.csv,incomplete,SSD,South Sudan
youth_literacy.csv,incomplete,ESP,Spain
youth_literacy.csv,incomplete,SDN,Sudan
youth_literacy.csv,incomplete,TZA,Tanzania
youth_literacy.csv,incomplete,TGO,Togo
youth_literacy.csv,incomplete,TUN,Tunisia
youth_literacy.csv,incomplete,UGA,Uganda
youth_literacy.csv,incomplete,UKR,Ukraine
youth_literacy.csv,incomplete,ZMB,Zambia
youth_literacy.csv,incomplete,ZWE,Zimbabwe
child_labor.csv,no_data,BWA,Botswana
child_labor.csv,no_data,CPV,Cape Verde
child_labor.csv,no_data,DJI,Djibouti
child_labor.csv,no_data,GNQ,Equatorial Guinea
child_labor.csv,no_data,ERI,Eritrea
child_labor.csv,no_data,LBY,Libyan Arab Jamahiriya
child_labor.csv,no_data,MUS,Mauritius
child_labor.csv,no_data,MYT,Mayotte
child_labor.csv,no_data,MAR,Morocco
child_labor.csv,no_data,NAM,Namibia
child_labor.csv,no_data,REU,Reunion
child_labor.csv,no_data,RWA,Rwanda
child_labor.csv,no_data,SHN,Saint Helena
child_labor.csv,no_data,SYC,Seychelles
child_labor.csv,no_data,SOM,Somalia
child_labor.csv,no_data,ZAF,South Africa
child_labor.csv,no_data,SSD,South Sudan
child_labor.csv,no_data,ESH,Western Sahara
child_marriage_prevalence.csv,no_data,AND,Andorra
child_marriage_prevalence.csv,no_data,AUT,Austria
child_marriage_prevalence.csv,no_data,BWA,Botswana
child_marriage_prevalence.csv,no_data,BGR,Bulgaria
child_marriage_prevalence.csv,no_data,HRV,Croatia
child_marriage_prevalence.csv,no_data,CZE,Czechia
child_marriage_prevalence.csv,no_data,EST,Estonia
child_marriage_prevalence.csv,no_data,FRO,Faroe Islands
child_marriage_prevalence.csv,no_data,FRA,France
child_marriage_prevalence.csv,no_data,DEU,Germany
child_marriage_prevalence.csv,no_data,GIB,Gibraltar
child_marriage_prevalence.csv,no_data,GRC,Greece
child_marriage_prevalence.csv,no_data,GGY,Guernsey
child_marriage_prevalence.csv,no_data,VAT,Holy See
child_marriage_prevalence.csv,no_data,HUN,Hungary
child_marriage_prevalence.csv,no_data,ISL,Iceland
child_marriage_prevalence.csv,no_data,IRL,Ireland
child_marriage_prevalence.csv,no_data,IMN,Isle of Man
child_marriage_prevalence.csv,no_data,ITA,Italy
child_marriage_prevalence.csv,no_data,JEY,Jersey
child_marriage_prevalence.csv,no_data,LVA,Latvia
child_marriage_prevalence.csv,no_data,LBY,Libyan Arab Jamahiriya
child_marriage_prevalence.csv,no_data,LIE,Liechtenstein
child_marriage_prevalence.csv,no_data,LUX,Luxembourg
child_marriage_prevalence.csv,no_data,MLT,Malta
child_marriage_prevalence.csv,no_data,MUS,Mauritius
child_marriage_prevalence.csv,no_data,MYT,Mayotte
child_marriage_prevalence.csv,no_data,MCO,Monaco
child_marriage_prevalence.csv,no_data,NLD,Netherlands
child_marriage_prevalence.csv,no_data,POL,Poland
child_marriage_prevalence.csv,no_data,PRT,Portugal
child_marriage_prevalence.csv,no_data,REU,Reunion
child_marriage_prevalence.csv,no_data,SHN,Saint Helena
child_marriage_prevalence.csv,no_data,SMR,San Marino
child_marriage_prevalence.csv,no_data,SYC,Seychelles
child_marriage_prevalence.csv,no_data,SVK,Slovakia
child_marriage_prevalence.csv,no_data,SVN,Slovenia
child_marriage_prevalence.csv,no_data,ESP,Spain
child_marriage_prevalence.csv,no_data,SJM,Svalbard & Jan Mayen Islands
child_marriage_prevalence.csv,no_data,SWE,Sweden
child_marriage_prevalence.csv,no_data,CHE,Switzerland
child_marriage_prevalence.csv,no_data,ESH,Western Sahara
child_marriage_prevalence.csv,no_data,ALA,Åland Islands
education_spending.csv,no_data,GNQ,Equatorial Guinea
education_spending.csv,no_data,FRO,Faroe Islands
education_spending.csv,no_data,GIB,Gibraltar
education_spending.csv,no_data,GGY,Guernsey
education_spending.csv,no_data,VAT,Holy See
education_spending.csv,no_data,IMN,Isle of Man
education_spending.csv,no_data,JEY,Jersey
education_spending.csv,no_data,XKX,Kosovo
education_spending.csv,no_data,LBY,Libyan Arab Jamahiriya
education_spending.csv,no_data,MYT,Mayotte
education_spending.csv,no_data,MNE,Montenegro
education_spending.csv,no_data,REU,Reunion
education_spending.csv,no_data,SHN,Saint Helena
education_spending.csv,no_data,SJM,Svalbard & Jan Mayen Islands
education_spending.csv,no_data,ESH,Western Sahara
education_spending.csv,no_data,ALA,Åland Islands
fgm_quintile_prevalence.csv,no_data,DZA,Algeria
fgm_quintile_prevalence.csv,no_data,AGO,Angola
fgm_quintile_prevalence.csv,no_data,BWA,Botswana
fgm_quintile_prevalence.csv,no_data,BDI,Burundi
fgm_quintile_prevalence.csv,no_data,CPV,Cape Verde
fgm_quintile_prevalence.csv,no_data,COM,Comoros
fgm_quintile_prevalence.csv,no_data,COG,Congo
fgm_quintile_prevalence.csv,no_data,CIV,Cote d'Ivoire
fgm_quintile_prevalence.csv,no_data,COD,DR Congo
fgm_quintile_prevalence.csv,no_data,DJI,Djibouti
fgm_quintile_prevalence.csv,no_data,GNQ,Equatorial Guinea
fgm_quintile_prevalence.csv,no_data,SWZ,Eswatini
