code,country,continent,year,value
PHL,Philippines,Asia,2003,14.0
PHL,Philippines,Asia,2008,14.2
PHL,Philippines,Asia,2013,15.0
PHL,Philippines,Asia,2017,16.5
PHL,Philippines,Asia,2022,9.4
PNG,Papua New Guinea,Oceania,2018,27.3
PRK,North Korea,Asia,2017,0.1
PRY,Paraguay,South America,2016,21.6
PSE,Palestinian Territory,Asia,2020,13.4
QAT,Qatar,Asia,2012,4.2
ROU,Romania,Europe,2021,6.9
RUS,Russia,Asia,2017,6.2
RWA,Rwanda,Africa,2000,19.5
RWA,Rwanda,Africa,2005,13.3
RWA,Rwanda,Africa,2010,8.1
RWA,Rwanda,Africa,2015,6.8
RWA,Rwanda,Africa,2020,5.5
SDN,Sudan,Africa,2014,34.2
SEN,Senegal,Africa,2005,39.0
SEN,Senegal,Africa,2011,32.9
SEN,Senegal,Africa,2013,29.8
SEN,Senegal,Africa,2014,32.3
SEN,Senegal,Africa,2015,31.0
SEN,Senegal,Africa,2016,31.5
SEN,Senegal,Africa,2017,28.8
SEN,Senegal,Africa,2018,25.5
SEN,Senegal,Africa,2019,30.5
SGP,Singapore,Asia,2023,0.1
SLB,Solomon Islands,Oceania,2015,21.3
SLE,Sierra Leone,Africa,2008,47.9
SLE,Sierra Leone,Africa,2013,38.9
SLE,Sierra Leone,Africa,2019,29.6
SLV,El Salvador,North America,2021,19.7
SOM,Somalia,Africa,2006,45.3
SRB,Serbia,Europe,2019,5.5
SSD,South Sudan,Africa,2010,51.5
STP,Sao Tome and Principe,Africa,2009,34.4
STP,Sao Tome and Principe,Africa,2019,28.0
SUR,Suriname,South America,2018,36.0
SWZ,Eswatini,Africa,2007,7.7
SWZ,Eswatini,Africa,2022,1.9
SYR,Syria,Asia,2006,13.3
TCA,Turks and Caicos Islands,North America,2020,23.3
TCD,Chad,Africa,2004,72.0
TCD,Chad,Africa,2015,66.9
TCD,Chad,Africa,2019,60.6
TGO,Togo,Africa,2014,21.8
TGO,Togo,Africa,2017,24.8
THA,Thailand,Asia,2022,17.0
TJK,Tajikistan,Asia,2012,11.6
TJK,Tajikistan,Asia,2017,8.7
TKM,Turkmenistan,Asia,2000,9.1
TKM,Turkmenistan,Asia,2019,6.1
TLS,Timor-Leste,Asia,2010,18.9
TLS,Timor-Leste,Asia,2016,14.9
TON,Tonga,Oceania,2019,10.1
TTO,Trinidad and Tobago,North America,2022,4.2
TUN,Tunisia,Africa,2018,1.5
TUR,Turkey,Asia,2003,18.4
TUR,Turkey,Asia,2008,14.0
TUR,Turkey,Asia,2013,14.7
TUR,Turkey,Asia,2018,14.7
TUV,Tuvalu,Oceania,2020,1.8
TZA,Tanzania,Africa,2004,35.3
TZA,Tanzania,Africa,2005,41.1
TZA,Tanzania,Africa,2008,37.8
TZA,Tanzania,Africa,2010,36.9
TZA,Tanzania,Africa,2012,31.1
TZA,Tanzania,Africa,2016,30.5
TZA,Tanzania,Africa,2022,29.1
UGA,Uganda,Africa,2001,53.9
UGA,Uganda,Africa,2005,51.4
UGA,Uganda,Africa,2006,46.3
UGA,Uganda,Africa,2011,39.7
UGA,Uganda,Africa,2016,34.0
UKR,Ukraine,Europe,2007,9.9
UKR,Ukraine,Europe,2012,9.1
URY,Uruguay,South America,2013,24.6
UZB,Uzbekistan,Asia,2022,3.4
VNM,Vietnam,Asia,2002,11.1
VNM,Vietnam,Asia,2005,10.2
VNM,Vietnam,Asia,2021,14.6
VUT,Vanuatu,Oceania,2013,21.4
WSM,Samoa,Oceania,2020,7.4
YEM,Yemen,Asia,2013,31.9
YEM,Yemen,Asia,2023,29.6
ZAF,South Africa,Africa,2016,3.6
ZMB,Zambia,Africa,2002,42.1
ZMB,Zambia,Africa,2007,41.6
ZMB,Zambia,Africa,2014,31.4
ZMB,Zambia,Africa,2018,29.0
ZWE,Zimbabwe,Africa,2006,33.6
ZWE,Zimbabwe,Africa,2011,30.5
ZWE,Zimbabwe,Africa,2015,32.4
ZWE,Zimbabwe,Africa,2019,33.7
