iso3,country,continent,region,year,married_before_18,married_before_15,children_before_18
SSD,South Sudan,Africa,Sub-Saharan Africa,2010,51.5,,
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,2019,28.0,,
SUR,Suriname,South America,Latin America and the Caribbean,2018,36.0,,
SWZ,Eswatini,Africa,Sub-Saharan Africa,2022,1.9,,
SYR,Syria,Asia,Central and Southern Asia,2006,13.3,,
TCA,Turks and Caicos Islands,North America,Europe and Northern America,2020,23.3,,
TCD,Chad,Africa,Sub-Saharan Africa,2019,60.6,,
TGO,Togo,Africa,Sub-Saharan Africa,2017,24.8,,
THA,Thailand,Asia,Central and Southern Asia,2022,17.0,,
TJK,Tajikistan,Asia,Central and Southern Asia,2017,8.7,,
TKM,Turkmenistan,Asia,Central and Southern Asia,2019,6.1,,
TLS,East Timor,Asia,Central and Southern Asia,2016,14.9,,
TON,Tonga,Oceania,Oceania,2019,10.1,,
TTO,Trinidad and Tobago,North America,Europe and Northern America,2022,4.2,,
TUN,Tunisia,Africa,Sub-Saharan Africa,2018,1.5,,
TUR,Turkey,Asia,Central and Southern Asia,2018,14.7,,
TUV,Tuvalu,Oceania,Oceania,2020,1.8,,
TZA,Tanzania,Africa,Sub-Saharan Africa,2022,29.1,,
UGA,Uganda,Africa,Sub-Saharan Africa,2016,34.0,,
UKR,Ukraine,Europe,Europe and Northern America,2012,9.1,,
URY,Uruguay,South America,Latin America and the Caribbean,2013,24.6,,
UZB,Uzbekistan,Asia,Central and Southern Asia,2022,3.4,,
VNM,Vietnam,Asia,Central and Southern Asia,2021,14.6,,
VUT,Vanuatu,Oceania,Oceania,2013,21.4,,
WSM,Samoa,Oceania,Oceania,2020,7.4,,
YEM,Yemen,Asia,Central and Southern Asia,2023,29.6,,
ZAF,South Africa,Africa,Sub-Saharan Africa,2016,3.6,,
ZMB,Zambia,Africa,Sub-Saharan Africa,2018,29.0,,
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,2019,33.7,,
