iso_code,country,region,comp_prim_avg
MRT,Mauritania,Hodh Gharbi,0.2241
MRT,Mauritania,Nouakchott,0.5936
MRT,Mauritania,Nouakchott Nord,0.5517
MRT,Mauritania,Nouakchott Ouest,0.6233
MRT,Mauritania,Nouakchott Sud,0.5574
MRT,Mauritania,Tagant,0.4446
MRT,Mauritania,Tiris Zemmour,0.7299
MRT,Mauritania,Tiris Zemour Et Inchiri,0.7018
MRT,Mauritania,Trarza,0.49
MWI,Malawi,Central,0.4352
MWI,Malawi,North,0.6105
MWI,Malawi,Northern,0.6701
MWI,Malawi,South,0.5072
MWI,Malawi,Southern,0.4808
NAM,Namibia,Caprivi,0.7767
NAM,Namibia,Erongo,0.9587
NAM,Namibia,Hardap,0.853
NAM,Namibia,Karas,0.898
NAM,Namibia,Kavango,0.6478
NAM,Namibia,Khomas,0.9099
NAM,Namibia,Kunene,0.5878
NAM,Namibia,Ohangwena,0.6426
NAM,Namibia,Omaheke,0.6481
NAM,Namibia,Omusati,0.7907
NAM,Namibia,Oshana,0.8342
NAM,Namibia,Oshikoto,0.7101
NAM,Namibia,Otjozondjupa,0.7427
NER,Niger,Agadez,0.5073
NER,Niger,Diffa,0.2595
NER,Niger,Dosso,0.3828
NER,Niger,Maradi,0.3226
NER,Niger,Niamey,0.6549
NER,Niger,Tahoua,0.2108
NER,Niger,Tillaberi,0.3014
NER,Niger,Zinder,0.2999
NGA,Nigeria,Abia,0.8709
NGA,Nigeria,Adamawa,0.6473
NGA,Nigeria,Akwa Ibom,0.9128
NGA,Nigeria,Anambra,0.8854
NGA,Nigeria,Bauchi,0.3516
NGA,Nigeria,Bayelsa,0.8904
NGA,Nigeria,Benue,0.6558
NGA,Nigeria,Borno,0.5124
NGA,Nigeria,Cross River,0.8951
NGA,Nigeria,Delta,0.8077
NGA,Nigeria,Ebonyi,0.6988
NGA,Nigeria,Edo,0.8853
NGA,Nigeria,Ekiti,0.9308
NGA,Nigeria,Enugu,0.8681
NGA,Nigeria,FCT (Abuja),0.8444
NGA,Nigeria,Gombe,0.4835
NGA,Nigeria,Imo,0.9059
NGA,Nigeria,Jigawa,0.4258
NGA,Nigeria,Kaduna,0.7684
NGA,Nigeria,Kano,0.679
NGA,Nigeria,Katsina,0.5312
NGA,Nigeria,Kebbi,0.3387
NGA,Nigeria,Kogi,0.8412
NGA,Nigeria,Kwara,0.765
NGA,Nigeria,Lagos,0.9712
NGA,Nigeria,Nasarawa,0.5995
NGA,Nigeria,Niger,0.4516
NGA,Nigeria,North Central,0.7104
NGA,Nigeria,North East,0.3994
NGA,Nigeria,North West,0.4561
NGA,Nigeria,Ogun,0.9164
NGA,Nigeria,Ondo,0.9245
NGA,Nigeria,Osun,0.9504
NGA,Nigeria,Oyo,0.8084
NGA,Nigeria,Plateau,0.7267
NGA,Nigeria,Rivers,0.9367
NGA,Nigeria,Sokoto,0.3713
NGA,Nigeria,South East,0.8796
NGA,Nigeria,South South,0.8974
NGA,Nigeria,South West,0.901
NGA,Nigeria,Taraba,0.5761
NGA,Nigeria,Yobe,0.4182
NGA,Nigeria,Zamfara,0.5068
RWA,Rwanda,Butare,0.1796
RWA,Rwanda,Byumba,0.1653
RWA,Rwanda,Cyangugu,0.1988
RWA,Rwanda,East,0.4767
RWA,Rwanda,Gikongoro,0.1757
RWA,Rwanda,Gisenyi,0.1539
RWA,Rwanda,Gitarama,0.2201
RWA,Rwanda,Kibungo,0.1244
RWA,Rwanda,Kibuye,0.1311
RWA,Rwanda,Kigali,0.7553
RWA,Rwanda,Kigali City,0.4935
RWA,Rwanda,Kigali Rural,0.2306
RWA,Rwanda,North,0.5437
RWA,Rwanda,Ruhengeri,0.1682
RWA,Rwanda,South,0.4985
RWA,Rwanda,Umutara,0.1293
RWA,Rwanda,West,0.5242
SDN,Sudan,Blue Nile,0.5244
SDN,Sudan,Central Darfur,0.4752
SDN,Sudan,East Darfur,0.5505
SDN,Sudan,Gadarif,0.5652
SDN,Sudan,Gezira,0.8063
SDN,Sudan,Kassala,0.5259
SDN,Sudan,Khartoum,0.9234
SDN,Sudan,North Darfur,0.6935
SDN,Sudan,North Kordofan,0.6246
SDN,Sudan,Northern,0.8302
SDN,Sudan,Red Sea,0.6398
SDN,Sudan,River Nile,0.7949
SDN,Sudan,Sinnar,0.6476
SDN,Sudan,South Darfur,0.573
SDN,Sudan,South Kordofan,0.596
SDN,Sudan,West Darfur,0.5001
SDN,Sudan,West Kordofan,0.4951
SDN,Sudan,White Nile,0.7176
SEN,Senegal,Dakar,0.6719
SEN,Senegal,Diourbel,0.2118
SEN,Senegal,Fatick,0.5804
SEN,Senegal,Kaffrine,0.2553
SEN,Senegal,Kaolack,0.4604
SEN,Senegal,Kedougou,0.5372
SEN,Senegal,Kolda,0.4548
SEN,Senegal,Louga,0.3483
SEN,Senegal,Matam,0.4014
SEN,Senegal,Saint Louis,0.4878
SEN,Senegal,Sedhiou,0.5608
SEN,Senegal,Tambacounda,0.3134
SEN,Senegal,Thies,0.532
SEN,Senegal,Ziguinchor,0.7718
SLE,Sierra Leone,East,0.543
SLE,Sierra Leone,Eastern,0.6948
SLE,Sierra Leone,North,0.5612
SLE,Sierra Leone,North Western,0.6239
SLE,Sierra Leone,Northern,0.7017
SLE,Sierra Leone,South,0.4906
SLE,Sierra Leone,Southern,0.5499
SLE,Sierra Leone,West,0.807
SLE,Sierra Leone,Western,0.8578
SSD,South Sudan,Central Equatoria,0.4519
SSD,South Sudan,Eastern Equatoria,0.2269
SSD,South Sudan,Jonglei,0.1035
SSD,South Sudan,Lakes,0.1572
SSD,South Sudan,Northern Bahr El Ghazal,0.1518
SSD,South Sudan,Unity,0.1549
SSD,South Sudan,Upper Nile,0.4381
SSD,South Sudan,Warap,0.0686
SSD,South Sudan,Western Bahr El Ghazal,0.3162
SSD,South Sudan,Western Equatoria,0.2325
STP,S. Tome/Principe,Centro Este,0.835
STP,S. Tome/Principe,Distrito De Agua Grande,0.9452
STP,S. Tome/Principe,Norte Oeste,0.8159
STP,S. Tome/Principe,Principe,0.7773
STP,S. Tome/Principe,Sul Este,0.7963
SWZ,Eswatini,Hhohho,0.6872
SWZ,Eswatini,Lubombo,0.6007
SWZ,Eswatini,Manzini,0.7082
SWZ,Eswatini,Shiselweni,0.6733
TCD,Chad,Bar Azoum,0.0276
TCD,Chad,Barh El Gazal,0.0871
TCD,Chad,Batha,0.0908
TCD,Chad,Borkou,0.1612
TCD,Chad,Borkou/Ennedi/Tibesti,0.0969
TCD,Chad,Centre Est,0.0742
TCD,Chad,Chari Baguirmi,0.127
TCD,Chad,Ennedi Est,0.1187
TCD,Chad,Ennedi Ouest,0.1636
TCD,Chad,Guera,0.2131
TCD,Chad,Hadjer Lamis,0.061
TCD,Chad,Kanem,0.0599
TCD,Chad,Lac,0.1252
TCD,Chad,Logone Occidental,0.3399
TCD,Chad,Logone Oriental,0.3285
TCD,Chad,Mandoul,0.3494
TCD,Chad,Mayo Kebbi,0.3032
TCD,Chad,Mayo Kebbi Est,0.4989
TCD,Chad,Mayo Kebbi Ouest,0.6055
TCD,Chad,Moyen Chari,0.3419
TCD,Chad,N'Djamena,0.5831
TCD,Chad,Ouaddae,0.1062
TCD,Chad,Ouaddai,0.1051
TCD,Chad,Ouaddai Est,0.0558
TCD,Chad,Salamat,0.0936
TCD,Chad,Sila,0.06
TCD,Chad,Tandjile,0.3953
TCD,Chad,Wadi Fira,0.0893
TGO,Togo,Centrale,0.6573
TGO,Togo,Kara,0.5959
TGO,Togo,Lome,0.7657
TGO,Togo,Maritime,0.6082
TGO,Togo,Plateaux,0.5777
TGO,Togo,Savanes,0.3725
TUN,Tunisia,Centre Est,0.9477
TUN,Tunisia,Centre Ouest,0.8913
TUN,Tunisia,District Tunis,0.9779
TUN,Tunisia,Kairouan,0.8735
TUN,Tunisia,Kasserine,0.7842
TUN,Tunisia,Nord Est,0.9574
TUN,Tunisia,Nord Ouest,0.9234
TUN,Tunisia,Sidi Bouzid,0.9275
TUN,Tunisia,Sud Est,0.9685
TUN,Tunisia,Sud Ouest,0.9783
TZA,U. R. Tanzania,Arusha,0.8025
TZA,U. R. Tanzania,Dar Es Salaam,0.9046
TZA,U. R. Tanzania,Dodoma,0.5795
TZA,U. R. Tanzania,Geita,0.6515
TZA,U. R. Tanzania,Iringa,0.8343
TZA,U. R. Tanzania,Kagera,0.6396
TZA,U. R. Tanzania,Katavi,0.5612
TZA,U. R. Tanzania,Kigoma,0.6209
TZA,U. R. Tanzania,Kilimanjaro,0.8832
TZA,U. R. Tanzania,Lindi,0.5945
TZA,U. R. Tanzania,Manyara,0.5817
TZA,U. R. Tanzania,Mara,0.7242
TZA,U. R. Tanzania,Mbeya,0.7324
TZA,U. R. Tanzania,Mjini Magharibi,0.9544
TZA,U. R. Tanzania,Morogoro,0.7017
TZA,U. R. Tanzania,Mtwara,0.6596
TZA,U. R. Tanzania,Mwanza,0.609
TZA,U. R. Tanzania,Njombe,0.9032
TZA,U. R. Tanzania,Pemba North,0.5937
TZA,U. R. Tanzania,Pemba South,0.7046
TZA,U. R. Tanzania,Pwani,0.6595
TZA,U. R. Tanzania,Rukwa,0.4744
TZA,U. R. Tanzania,Ruvuma,0.7816
TZA,U. R. Tanzania,Shinyanga,0.6424
TZA,U. R. Tanzania,Simiyu,0.8272
TZA,U. R. Tanzania,Singida,0.6593
TZA,U. R. Tanzania,Tabora,0.4879
TZA,U. R. Tanzania,Tanga,0.6664
TZA,U. R. Tanzania,Town West,0.7858
TZA,U. R. Tanzania,Unguja North,0.7125
