iso_code,country,year,region,comp_prim_v2_m,eduout_prim_m
MDG,Madagascar,2009,Melaky,0.0802000015974045,0.467099994421005
MDG,Madagascar,2009,Menabe,0.230100005865097,0.310499995946884
MDG,Madagascar,2009,Sava,0.393200010061264,0.140599995851517
MDG,Madagascar,2009,Sofia,0.418799996376038,0.148200005292892
MDG,Madagascar,2009,Vakinankaratra,0.499900013208389,0.174999997019768
MDG,Madagascar,2009,Vatovavy Fitovinany,0.150299996137619,0.238600000739098
MLI,Mali,2001,Bamako,0.4375,0.198899999260902
MLI,Mali,2001,Gao,0.226500004529953,0.504199981689453
MLI,Mali,2001,Kayes,0.0856999978423119,0.671000003814697
MLI,Mali,2001,Kidal,0.312700003385544,0.355500012636185
MLI,Mali,2001,Koulikoro,0.106499999761581,0.55460000038147
MLI,Mali,2001,Mopti,0.119000002741814,0.771000027656555
MLI,Mali,2001,Segou,0.166800007224083,0.68419998884201
MLI,Mali,2001,Sikasso,0.150299996137619,0.649800002574921
MLI,Mali,2001,Tombouctou,0.142199993133545,0.722000002861023
MLI,Mali,2006,Bamako,0.536400020122528,0.204799994826317
MLI,Mali,2006,Gao,0.340900003910065,0.453500002622604
MLI,Mali,2006,Kayes,0.120999999344349,0.597299993038177
MLI,Mali,2006,Kidal,0.406899988651276,0.595200002193451
MLI,Mali,2006,Koulikoro,0.312900006771088,0.531499981880188
MLI,Mali,2006,Mopti,0.20720000565052,0.651000022888184
MLI,Mali,2006,Segou,0.283399999141693,0.543900012969971
MLI,Mali,2006,Sikasso,0.24609999358654,0.562200009822845
MLI,Mali,2006,Tombouctou,0.234300002455711,0.568000018596649
MLI,Mali,2010,Bamako,0.552799999713898,0.151700004935265
MLI,Mali,2010,Gao,0.401800006628036,0.295199990272522
MLI,Mali,2010,Kayes,0.269800007343292,0.500299990177155
MLI,Mali,2010,Kidal,0.227599993348122,0.532000005245209
MLI,Mali,2010,Koulikoro,0.438100010156631,0.344599992036819
MLI,Mali,2010,Mopti,0.230199992656708,0.55239999294281
MLI,Mali,2010,Segou,0.31479999423027,0.482800006866455
MLI,Mali,2010,Sikasso,0.379299998283386,0.380800008773804
MLI,Mali,2010,Tombouctou,0.181799992918968,0.626200020313263
MLI,Mali,2015,Bamako,0.763800024986267,
MLI,Mali,2015,Gao,0.25670000910759,
MLI,Mali,2015,Kayes,0.375499993562698,
MLI,Mali,2015,Koulikoro,0.533800005912781,
