Unnamed: 0;iso_code;country;year;region;compl_primary;out_primary
19972;ETH;Ethiopia;2000;SNNPR;0.147300004959106;0.66100001335144
19973;ETH;Ethiopia;2000;Somali;0.0904000028967857;0.850199997425079
19974;ETH;Ethiopia;2000;Tigray;0.269300013780594;0.621800005435944
20108;ETH;Ethiopia;2005;Addis Ababa;0.681500017642975;0.117899999022484
20109;ETH;Ethiopia;2005;Afar;0.0829999968409538;0.835099995136261
20110;ETH;Ethiopia;2005;Amhara;0.261000007390976;0.433499991893768
20111;ETH;Ethiopia;2005;Benishangul Gumuz;0.240899994969368;0.43189999461174
20112;ETH;Ethiopia;2005;Dire Dawa;0.573300004005432;0.375299990177155
20113;ETH;Ethiopia;2005;Gambela;0.467400014400482;0.47859999537468
20114;ETH;Ethiopia;2005;Harari;0.490099996328354;0.380100011825562
20115;ETH;Ethiopia;2005;Oromia;0.266099989414215;0.485000014305115
20116;ETH;Ethiopia;2005;SNNPR;0.247999995946884;0.572000026702881
20117;ETH;Ethiopia;2005;Somali;0.111100003123283;0.85290002822876
20118;ETH;Ethiopia;2005;Tigray;0.332899987697601;0.440200001001358
20434;ETH;Ethiopia;2011;Addis Ababa;0.72409999370575;0.100000001490116
20435;ETH;Ethiopia;2011;Afar;0.26910001039505;0.485700011253357
20436;ETH;Ethiopia;2011;Amhara;0.375499993562698;0.320800006389618
20437;ETH;Ethiopia;2011;Benishangul Gumuz;0.386700004339218;0.338699996471405
20438;ETH;Ethiopia;2011;Dire Dawa;0.630500018596649;0.268099993467331
20439;ETH;Ethiopia;2011;Gambela;0.490500003099442;0.207900002598763
20440;ETH;Ethiopia;2011;Harari;0.61599999666214;0.257600009441376
20441;ETH;Ethiopia;2011;Oromia;0.367700010538101;0.428799986839294
20442;ETH;Ethiopia;2011;SNNPR;0.395799994468689;0.40599998831749
20443;ETH;Ethiopia;2011;Somali;0.222599998116493;0.43419998884201
20444;ETH;Ethiopia;2011;Tigray;0.488999992609024;0.24600000679493
20782;GAB;Gabon;2000;Big Cities;0.604700028896332;
20783;GAB;Gabon;2000;East (Haut Ogoou<U+0082> & Ogoou<U+0082> Lolo);0.36599999666214;
20784;GAB;Gabon;2000;North (Ogoou<U+0082> Ivindo & Woleu Ntem);0.429199993610382;
20785;GAB;Gabon;2000;South (Ngouni<U+0082>, Nyanga);0.366899996995926;
20786;GAB;Gabon;2000;West (Estuaire, Moyen Ogoou<U+0082> & Ogoou<U+0082> Maritime);0.439900010824203;
20898;GAB;Gabon;2012;Estuaire;0.750199973583221;0.0627999976277351
20899;GAB;Gabon;2012;Haut Ogooue;0.607200026512146;0.0685999989509583
20900;GAB;Gabon;2012;Libreville Port Gentil;0.840200006961823;0.0401999987661839
20901;GAB;Gabon;2012;Moyen Ogooue;0.593999981880188;0.096500001847744
20902;GAB;Gabon;2012;Ngounie;0.479999989271164;0.0762000009417534
