Entity,Code,Year,Women who were first married by age 18 (% of women ages 20-24),World region according to OWID
Thailand,THA,1987,20.5,Asia
Thailand,THA,2022,17,Asia
Togo,TGO,1988,43.6,Africa
Togo,TGO,1998,30.5,Africa
Togo,TGO,2014,21.8,Africa
Togo,TGO,2017,24.8,Africa
Tonga,TON,2019,10.1,Oceania
Trinidad and Tobago,TTO,1987,34.4,North America
Trinidad and Tobago,TTO,2022,4.2,North America
Tunisia,TUN,1988,9.7,Africa
Tunisia,TUN,2018,1.5,Africa
Turkey,TUR,1993,23.3,Asia
Turkey,TUR,1998,23,Asia
Turkey,TUR,2003,18.4,Asia
Turkey,TUR,2008,14,Asia
Turkey,TUR,2013,14.7,Asia
Turkey,TUR,2018,14.7,Asia
Turkmenistan,TKM,2000,9.1,Asia
Turkmenistan,TKM,2019,6.1,Asia
Turks and Caicos Islands,TCA,2020,23.3,North America
Tuvalu,TUV,2020,1.8,Oceania
Uganda,UGA,1989,52.6,Africa
Uganda,UGA,1995,54.1,Africa
Uganda,UGA,2001,53.9,Africa
Uganda,UGA,2005,51.4,Africa
Uganda,UGA,2006,46.3,Africa
Uganda,UGA,2011,39.7,Africa
Uganda,UGA,2016,34,Africa
Ukraine,UKR,2007,9.9,Europe
Ukraine,UKR,2012,9.1,Europe
United Kingdom,GBR,2021,0,Europe
Uruguay,URY,2013,24.6,South America
Uzbekistan,UZB,1996,15.3,Asia
Uzbekistan,UZB,2022,3.4,Asia
Vanuatu,VUT,2013,21.4,Oceania
Vietnam,VNM,1997,12.4,Asia
Vietnam,VNM,2002,11.1,Asia
Vietnam,VNM,2005,10.2,Asia
Vietnam,VNM,2021,14.6,Asia
Yemen,YEM,1992,49.2,Asia
Yemen,YEM,1997,48.4,Asia
Yemen,YEM,2013,31.9,Asia
Yemen,YEM,2023,29.6,Asia
Zambia,ZMB,1992,43.3,Africa
Zambia,ZMB,1996,44.2,Africa
Zambia,ZMB,2002,42.1,Africa
Zambia,ZMB,2007,41.6,Africa
Zambia,ZMB,2014,31.4,Africa
Zambia,ZMB,2018,29,Africa
Zimbabwe,ZWE,1988,33.1,Africa
Zimbabwe,ZWE,1994,31,Africa
Zimbabwe,ZWE,1999,28.7,Africa
Zimbabwe,ZWE,2006,33.6,Africa
Zimbabwe,ZWE,2011,30.5,Africa
Zimbabwe,ZWE,2015,32.4,Africa
Zimbabwe,ZWE,2019,33.7,Africa
